Project_ID,Project_Name,Asset_Class,Country,Development_Stage,Solar_Capacity_MW,BESS_Power_MW,BESS_Energy_MWh,Cost_Profile_Label,Cost_Line_ID,Cost_Category,Cost_Group,Cost_Description,Vendor,One_Off_or_Recurring,Period,Currency,Amount_USD_mn,Total_Project_Cost_USD_mn,Cost_per_Solar_MW_USD_mn,Cost_as_pct_Total,Controllable_Flag,Duplicate_Group_ID,Potential_Duplicate_Flag,Expected_Optimization_Flag,Synthetic_Flag
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C001,Development & permitting,Core,Development permits and studies,Multiple / TBD,One-off,Development / Construction,USD,8.0,289.0,0.032,2.77,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C002,Land,Core,Land lease prepayment and access rights,Multiple / TBD,One-off,Development / Construction,USD,7.5,289.0,0.03,2.6,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C003,PV modules,EPC,PV modules supply,Multiple / TBD,One-off,Development / Construction,USD,72.0,289.0,0.288,24.91,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C004,Inverters,EPC,Inverters and transformers,Multiple / TBD,One-off,Development / Construction,USD,17.0,289.0,0.068,5.88,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C005,Balance of plant,EPC,"Cabling, mounting and electrical BoP",Multiple / TBD,One-off,Development / Construction,USD,40.0,289.0,0.16,13.84,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C006,BESS equipment,BESS,"Battery cells, PCS and EMS",Multiple / TBD,One-off,Development / Construction,USD,52.0,289.0,0.208,17.99,Partially,,No,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C007,Grid interconnection,Grid,Substation and grid connection works,Multiple / TBD,One-off,Development / Construction,USD,25.0,289.0,0.1,8.65,Partially,,No,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C008,Civil works,EPC,"Roads, drainage and foundations",Multiple / TBD,One-off,Development / Construction,USD,13.0,289.0,0.052,4.5,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C009,Owner's engineer,Advisory,Owner's engineer,Multiple / TBD,One-off,Development / Construction,USD,3.0,289.0,0.012,1.04,Yes,TECH_DUP_01,Yes,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C010,Technical advisory,Advisory,Lender and transaction technical adviser,Multiple / TBD,One-off,Development / Construction,USD,2.4,289.0,0.0096,0.83,Yes,TECH_DUP_01,Yes,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C011,Construction insurance,Insurance,Construction all-risk and delay cover,Multiple / TBD,One-off,Development / Construction,USD,5.2,289.0,0.0208,1.8,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C012,Legal due diligence,Advisory,Legal due diligence fees,Multiple / TBD,One-off,Development / Construction,USD,2.2,289.0,0.0088,0.76,Yes,LEGAL_DUP_01,Yes,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C013,Transaction legal advisory,Advisory,Transaction and financing legal fees,Multiple / TBD,One-off,Development / Construction,USD,1.7,289.0,0.0068,0.59,Yes,LEGAL_DUP_01,Yes,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C014,Financing fees,Financing,"Arrangement, commitment and agency fees",Multiple / TBD,One-off,Development / Construction,USD,5.5,289.0,0.022,1.9,Yes,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C015,EPC contingency,Contingency,Construction contingency,Multiple / TBD,One-off,Development / Construction,USD,18.0,289.0,0.072,6.23,Yes,,No,Yes,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C016,O&M mobilisation,Operations,"Spares, mobilisation and training",Multiple / TBD,One-off,Development / Construction,USD,4.5,289.0,0.018,1.56,Partially,,No,No,Yes
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,Late-stage development,250,100,200,High-cost solar+BESS,TXN_HELIOS_001-C017,Corporate/platform overhead,Overhead,Allocated platform and transaction overhead,Multiple / TBD,One-off,Development / Construction,USD,12.0,289.0,0.048,4.15,Yes,,No,Yes,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C001,Development & permitting,EPC,Development & permitting,Vendor_3,One-off,Development / Construction,USD,5.34,142.14,0.0243,3.76,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C002,Land,EPC,Land,Vendor_4,One-off,Development / Construction,USD,4.47,142.14,0.0203,3.14,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C003,PV modules,EPC,PV modules,Vendor_5,One-off,Development / Construction,USD,47.59,142.14,0.2163,33.48,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C004,Inverters,EPC,Inverters,Vendor_6,One-off,Development / Construction,USD,11.1,142.14,0.0505,7.81,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C005,Balance of plant,EPC,Balance of plant,Vendor_7,One-off,Development / Construction,USD,27.12,142.14,0.1233,19.08,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C006,BESS equipment,BESS,BESS equipment,Vendor_8,One-off,Development / Construction,USD,0.0,142.14,0.0,0.0,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C007,Grid interconnection,Grid,Grid interconnection,Vendor_9,One-off,Development / Construction,USD,13.94,142.14,0.0634,9.81,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C008,Civil works,EPC,Civil works,Vendor_1,One-off,Development / Construction,USD,9.26,142.14,0.0421,6.51,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C009,Owner's engineer,Advisory,Owner's engineer,Vendor_2,One-off,Development / Construction,USD,1.81,142.14,0.0082,1.27,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C010,Technical advisory,Advisory,Technical advisory,Vendor_3,One-off,Development / Construction,USD,1.15,142.14,0.0052,0.81,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C011,Construction insurance,Insurance,Construction insurance,Vendor_4,One-off,Development / Construction,USD,2.15,142.14,0.0098,1.51,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C012,Legal due diligence,Advisory,Legal due diligence,Vendor_5,One-off,Development / Construction,USD,0.92,142.14,0.0042,0.65,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C013,Transaction legal advisory,Advisory,Transaction legal advisory,Vendor_6,One-off,Development / Construction,USD,0.78,142.14,0.0035,0.55,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C014,Financing fees,Financing,Financing fees,Vendor_7,One-off,Development / Construction,USD,2.86,142.14,0.013,2.01,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C015,EPC contingency,Contingency,EPC contingency,Vendor_8,One-off,Development / Construction,USD,7.37,142.14,0.0335,5.19,Yes,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C016,O&M mobilisation,Operations,O&M mobilisation,Vendor_9,One-off,Development / Construction,USD,2.38,142.14,0.0108,1.67,Partially,,No,No,Yes
COST_SOL_002,Siam Solar East,Solar PV,Thailand,Operating,220,0,0,Low-cost utility solar,COST_SOL_002-C017,Corporate/platform overhead,Overhead,Corporate/platform overhead,Vendor_1,One-off,Development / Construction,USD,3.9,142.14,0.0177,2.74,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C001,Development & permitting,EPC,Development & permitting,Vendor_4,One-off,Development / Construction,USD,4.78,179.03,0.0266,2.67,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C002,Land,EPC,Land,Vendor_5,One-off,Development / Construction,USD,4.7,179.03,0.0261,2.63,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C003,PV modules,EPC,PV modules,Vendor_6,One-off,Development / Construction,USD,49.62,179.03,0.2757,27.72,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C004,Inverters,EPC,Inverters,Vendor_7,One-off,Development / Construction,USD,10.25,179.03,0.0569,5.73,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C005,Balance of plant,EPC,Balance of plant,Vendor_8,One-off,Development / Construction,USD,26.25,179.03,0.1458,14.66,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C006,BESS equipment,BESS,BESS equipment,Vendor_9,One-off,Development / Construction,USD,38.4,179.03,0.2133,21.45,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C007,Grid interconnection,Grid,Grid interconnection,Vendor_1,One-off,Development / Construction,USD,13.39,179.03,0.0744,7.48,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C008,Civil works,EPC,Civil works,Vendor_2,One-off,Development / Construction,USD,8.13,179.03,0.0452,4.54,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C009,Owner's engineer,Advisory,Owner's engineer,Vendor_3,One-off,Development / Construction,USD,1.75,179.03,0.0097,0.98,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C010,Technical advisory,Advisory,Technical advisory,Vendor_4,One-off,Development / Construction,USD,1.19,179.03,0.0066,0.66,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C011,Construction insurance,Insurance,Construction insurance,Vendor_5,One-off,Development / Construction,USD,2.17,179.03,0.0121,1.21,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C012,Legal due diligence,Advisory,Legal due diligence,Vendor_6,One-off,Development / Construction,USD,0.87,179.03,0.0048,0.49,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C013,Transaction legal advisory,Advisory,Transaction legal advisory,Vendor_7,One-off,Development / Construction,USD,0.69,179.03,0.0038,0.39,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C014,Financing fees,Financing,Financing fees,Vendor_8,One-off,Development / Construction,USD,3.13,179.03,0.0174,1.75,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C015,EPC contingency,Contingency,EPC contingency,Vendor_9,One-off,Development / Construction,USD,7.54,179.03,0.0419,4.21,Yes,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C016,O&M mobilisation,Operations,O&M mobilisation,Vendor_1,One-off,Development / Construction,USD,2.33,179.03,0.0129,1.3,Partially,,No,No,Yes
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,Construction,180,80,160,Mid-cost solar+BESS,COST_SOLB_003-C017,Corporate/platform overhead,Overhead,Corporate/platform overhead,Vendor_2,One-off,Development / Construction,USD,3.84,179.03,0.0213,2.14,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C001,Development & permitting,EPC,Development & permitting,Vendor_5,One-off,Development / Construction,USD,7.17,196.81,0.0239,3.64,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C002,Land,EPC,Land,Vendor_6,One-off,Development / Construction,USD,7.1,196.81,0.0237,3.61,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C003,PV modules,EPC,PV modules,Vendor_7,One-off,Development / Construction,USD,66.01,196.81,0.22,33.54,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C004,Inverters,EPC,Inverters,Vendor_8,One-off,Development / Construction,USD,15.97,196.81,0.0532,8.11,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C005,Balance of plant,EPC,Balance of plant,Vendor_9,One-off,Development / Construction,USD,37.52,196.81,0.1251,19.06,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C006,BESS equipment,BESS,BESS equipment,Vendor_1,One-off,Development / Construction,USD,0.0,196.81,0.0,0.0,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C007,Grid interconnection,Grid,Grid interconnection,Vendor_2,One-off,Development / Construction,USD,18.83,196.81,0.0628,9.57,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C008,Civil works,EPC,Civil works,Vendor_3,One-off,Development / Construction,USD,12.57,196.81,0.0419,6.39,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C009,Owner's engineer,Advisory,Owner's engineer,Vendor_4,One-off,Development / Construction,USD,2.67,196.81,0.0089,1.36,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C010,Technical advisory,Advisory,Technical advisory,Vendor_5,One-off,Development / Construction,USD,1.64,196.81,0.0055,0.83,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C011,Construction insurance,Insurance,Construction insurance,Vendor_6,One-off,Development / Construction,USD,2.94,196.81,0.0098,1.49,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C012,Legal due diligence,Advisory,Legal due diligence,Vendor_7,One-off,Development / Construction,USD,1.26,196.81,0.0042,0.64,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C013,Transaction legal advisory,Advisory,Transaction legal advisory,Vendor_8,One-off,Development / Construction,USD,1.02,196.81,0.0034,0.52,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C014,Financing fees,Financing,Financing fees,Vendor_9,One-off,Development / Construction,USD,3.94,196.81,0.0131,2.0,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C015,EPC contingency,Contingency,EPC contingency,Vendor_1,One-off,Development / Construction,USD,10.11,196.81,0.0337,5.14,Yes,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C016,O&M mobilisation,Operations,O&M mobilisation,Vendor_2,One-off,Development / Construction,USD,2.97,196.81,0.0099,1.51,Partially,,No,No,Yes
COST_SOL_004,Rajasthan Sun A,Solar PV,India,Operating,300,0,0,Low-cost utility solar,COST_SOL_004-C017,Corporate/platform overhead,Overhead,Corporate/platform overhead,Vendor_3,One-off,Development / Construction,USD,5.09,196.81,0.017,2.59,Yes,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C001,Development & permitting,EPC,Development & permitting,Vendor_6,One-off,Development / Construction,USD,7.1,237.94,0.0284,2.98,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C002,Land,EPC,Land,Vendor_7,One-off,Development / Construction,USD,6.3,237.94,0.0252,2.65,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C003,PV modules,EPC,PV modules,Vendor_8,One-off,Development / Construction,USD,64.3,237.94,0.2572,27.02,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C004,Inverters,EPC,Inverters,Vendor_9,One-off,Development / Construction,USD,14.73,237.94,0.0589,6.19,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C005,Balance of plant,EPC,Balance of plant,Vendor_1,One-off,Development / Construction,USD,33.47,237.94,0.1339,14.07,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C006,BESS equipment,BESS,BESS equipment,Vendor_2,One-off,Development / Construction,USD,48.0,237.94,0.192,20.17,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C007,Grid interconnection,Grid,Grid interconnection,Vendor_3,One-off,Development / Construction,USD,19.28,237.94,0.0771,8.1,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C008,Civil works,EPC,Civil works,Vendor_4,One-off,Development / Construction,USD,11.86,237.94,0.0474,4.98,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C009,Owner's engineer,Advisory,Owner's engineer,Vendor_5,One-off,Development / Construction,USD,2.62,237.94,0.0105,1.1,Yes,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C010,Technical advisory,Advisory,Technical advisory,Vendor_6,One-off,Development / Construction,USD,1.46,237.94,0.0058,0.61,Yes,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C011,Construction insurance,Insurance,Construction insurance,Vendor_7,One-off,Development / Construction,USD,3.2,237.94,0.0128,1.34,Partially,,No,No,Yes
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,Development,250,100,200,Mid-cost solar+BESS,COST_SOLB_005-C012,Legal due diligence,Advisory,Legal due diligence,Vendor_8,One-off,Development / Construction,USD,1.22,237.94,0.0049,0.51,Yes,,No,No,Yes
