source_id,source_name,source_url,target_filename,notes
ADB_001,Guzar Solar and BESS Project Page,https://www.adb.org/projects/58094-001/main,ADB_Guzar_Solar_BESS_Project_Page.pdf,
ADB_002,Guzar Solar and BESS ESIA Part 2,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_0.pdf,ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf,
ADB_003,Guzar Solar and BESS ESIA Part 4,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_2.pdf,ADB_Guzar_Solar_BESS_ESIA_Part_4.pdf,
ADB_004,Gulf Solar and Solar with BESS Project Page,https://www.adb.org/projects/57173-001/main,ADB_Gulf_Solar_BESS_Project_Page.pdf,
ADB_005,Gulf Solar and BESS Social Compliance Audit Report,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-scar-en.pdf,ADB_Gulf_Solar_BESS_SCAR.pdf,
ADB_006,Gulf Solar and BESS Initial Environmental Examination,https://www.adb.org/sites/default/files/project-documents/57173/57173-001-iee-en_1.pdf,ADB_Gulf_Solar_BESS_IEE.pdf,
ADB_007,Utility-Scale BESS Project Page,https://www.adb.org/projects/59110-001/main,ADB_Utility_Scale_BESS_Project_Page.pdf,
ADB_008,Utility-Scale BESS Project Printable PDF,https://www.adb.org/node/1065411/printable/pdf,ADB_Utility_Scale_BESS_Project_Printable.pdf,
ADB_009,Energy Storage and Green Hydrogen Development Project Page,https://www.adb.org/projects/54448-001/main,ADB_Energy_Storage_Green_Hydrogen_Project_Page.pdf,
ADB_010,Floating Solar Energy Project Page,https://www.adb.org/projects/51327-001/main,ADB_Floating_Solar_Project_Page.pdf,
