source_id,source_name,source_type,source_url,target_folder,target_filename,technology,country,intended_poc_use,notes
IFC_001,FRV Solar India,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/39151/frv-solar-india,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_FRV_Solar_India_SII.html,Solar PV,India,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_002,Azure RG Project,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/40099/azure-rg-project,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_Azure_RG_Project_SII.html,Solar / Renewables,India,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_003,PCR Renewables,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/49802/pcr-renewables,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_PCR_Renewables_SII.html,Renewables Platform,Multiple,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_004,FP Energy EF,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/48551/fp-energy-ef,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_FP_Energy_EF_SII.html,Renewables Platform,India,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_005,Candi Solar CI,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/49109/candi-solar-ci,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_Candi_Solar_CI_SII.html,Solar PV / BESS,Multiple,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_006,Elementum Debt,HTML disclosure page,https://disclosures.ifc.org/project-detail/SII/49272/elementum-debt,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_Elementum_Debt_SII.html,Wind,Ukraine,"RAG deal document, risk extraction, source-cited gap analysis",
IFC_007,IndiGrid BESS,HTML disclosure page,https://disclosures.ifc.org/project-detail/ESRS/49907/indigrid-bess,01_RAG_Public_Deal_Documents/IFC_Disclosure_Pages,IFC_IndiGrid_BESS_ESRS.html,BESS,India,"RAG deal document, risk extraction, source-cited gap analysis",
ADB_001,Guzar Solar and BESS Project Page,Project page/PDF,https://www.adb.org/projects/58094-001/main,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Guzar_Solar_BESS_Project_Page.html,Solar PV / BESS,Uzbekistan,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_002,Guzar Solar and BESS ESIA Part 2,Project page/PDF,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_0.pdf,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Guzar_Solar_BESS_ESIA_Part_2.pdf,Solar PV / BESS,Uzbekistan,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_003,Guzar Solar and BESS ESIA Part 4,Project page/PDF,https://www.adb.org/sites/default/files/project-documents/58094/58094-001-esia-en_2.pdf,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Guzar_Solar_BESS_ESIA_Part_4.pdf,Solar PV / BESS,Uzbekistan,"RAG project-finance style docs, E&S risks, project description, mitigants",
ADB_004,Gulf Solar and Solar with BESS Project Page,Project page/PDF,https://www.adb.org/projects/57173-001/main,01_RAG_Public_Deal_Documents/ADB_Project_Documents,ADB_Gulf_Solar_BESS_Project_Page.html,Solar PV / BESS,Thailand,"RAG project-finance style docs, E&S risks, project description, mitigants",
