Question_ID,Transaction_ID,Project_Name,Asset_Class,Country,Deal_Stage,Deal_Type,Question_Theme,Question_Text,Question_Date,Management_Response,Preparedness_Status,Follow_Up_Required,Follow_Up_Action,Final_Resolution,Approval_Outcome,Severity,Frequency_Score,Source_Document,Source_Page,Synthetic_Flag
ICQ-0001,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Merchant exposure,What proportion of revenue is contracted versus merchant-exposed?,2022-02-01,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.62,HIST_SOL_001_IC_Minutes.pdf,2,Yes
ICQ-0002,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Merchant price curve,How does the investment case compare with an independent merchant price curve?,2022-02-18,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.69,HIST_SOL_001_IC_Minutes.pdf,3,Yes
ICQ-0003,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Revenue assumptions,What are the principal drivers of revenue growth and which are management-controlled?,2022-03-07,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,Medium,0.76,HIST_SOL_001_IC_Minutes.pdf,4,Yes
ICQ-0004,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,PPA / offtake,"What termination, indexation and change-in-law provisions apply under the PPA?",2022-03-24,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.83,HIST_SOL_001_IC_Minutes.pdf,5,Yes
ICQ-0005,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Offtaker credit,What is the offtaker credit profile and what payment-security package is available?,2022-04-10,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.9,HIST_SOL_001_IC_Minutes.pdf,6,Yes
ICQ-0006,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,IRR bridge,What explains the movement from the seller case to the management case?,2022-04-27,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.57,HIST_SOL_001_IC_Minutes.pdf,7,Yes
ICQ-0007,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Valuation,How does EV/MW and EV/EBITDA compare with relevant transactions and public benchmarks?,2022-05-14,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.64,HIST_SOL_001_IC_Minutes.pdf,8,Yes
ICQ-0008,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Leverage,Is the proposed leverage appropriate for the development stage and revenue certainty?,2022-05-31,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.71,HIST_SOL_001_IC_Minutes.pdf,9,Yes
ICQ-0009,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,DSCR,What happens to minimum DSCR under the key downside scenarios?,2022-06-17,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved with conditions,High,0.78,HIST_SOL_001_IC_Minutes.pdf,10,Yes
ICQ-0010,HIST_SOL_001,Siam Sun I,Solar PV,Thailand,Late-stage development,Majority acquisition,Construction risk,Is EPC contingency adequate and is the EPC contract fixed-price and date-certain?,2022-07-04,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved with conditions,High,0.85,HIST_SOL_001_IC_Minutes.pdf,11,Yes
ICQ-0011,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Offtaker credit,What is the offtaker credit profile and what payment-security package is available?,2022-07-21,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.92,HIST_SOLB_002_IC_Minutes.pdf,12,Yes
ICQ-0012,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,IRR bridge,What explains the movement from the seller case to the management case?,2022-08-07,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.59,HIST_SOLB_002_IC_Minutes.pdf,1,Yes
ICQ-0013,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Valuation,How does EV/MW and EV/EBITDA compare with relevant transactions and public benchmarks?,2022-08-24,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.66,HIST_SOLB_002_IC_Minutes.pdf,2,Yes
ICQ-0014,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Leverage,Is the proposed leverage appropriate for the development stage and revenue certainty?,2022-09-10,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.73,HIST_SOLB_002_IC_Minutes.pdf,3,Yes
ICQ-0015,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,DSCR,What happens to minimum DSCR under the key downside scenarios?,2022-09-27,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.8,HIST_SOLB_002_IC_Minutes.pdf,4,Yes
ICQ-0016,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Construction risk,Is EPC contingency adequate and is the EPC contract fixed-price and date-certain?,2022-10-14,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.87,HIST_SOLB_002_IC_Minutes.pdf,5,Yes
ICQ-0017,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Schedule,What is the critical path to COD and which permits remain outstanding?,2022-10-31,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.94,HIST_SOLB_002_IC_Minutes.pdf,6,Yes
ICQ-0018,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Grid,Is the grid-connection agreement executed and are reinforcement costs capped?,2022-11-17,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.61,HIST_SOLB_002_IC_Minutes.pdf,7,Yes
ICQ-0019,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Curtailment,Has curtailment been independently assessed and stress-tested?,2022-12-04,"Management provided quantified evidence, supporting diligence and a clear mitigation.",Fully addressed,No,None,Closed before approval,Approved,High,0.68,HIST_SOLB_002_IC_Minutes.pdf,8,Yes
ICQ-0020,HIST_SOLB_002,Deccan Hybrid,Solar PV + BESS,India,Construction,Minority investment,Resource risk,Is the solar resource assessment independently validated and based on bankable data?,2022-12-21,Management provided a narrative response but key evidence or sensitivity remained outstanding.,Partially addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,Medium,0.75,HIST_SOLB_002_IC_Minutes.pdf,9,Yes
ICQ-0021,HIST_SOL_003,Nile Solar,Solar PV,Egypt,Operating,Majority acquisition,DSCR,What happens to minimum DSCR under the key downside scenarios?,2023-01-07,No adequate response was included in the submitted pack.,Not addressed,Yes,Provide supporting evidence and update the IC pack.,Closed with approval condition,Approved,High,0.82,HIST_SOL_003_IC_Minutes.pdf,10,Yes
