Project_ID,Project_Name,Asset_Class,Country,Solar_Capacity_MW,BESS_Energy_MWh,Total_Project_Cost_USD_mn,Total_Cost_per_Solar_MW_USD_mn,Expected_Profile_Label,Pct_Development___permitting,Pct_Land,Pct_PV_modules,Pct_Inverters,Pct_Balance_of_plant,Pct_BESS_equipment,Pct_Grid_interconnection,Pct_Civil_works,Pct_Owner_s_engineer,Pct_Technical_advisory,Pct_Construction_insurance,Pct_Legal_due_diligence,Pct_Transaction_legal_advisory,Pct_Financing_fees,Pct_EPC_contingency,Pct_O_M_mobilisation,Pct_Corporate_platform_overhead
TXN_HELIOS_001,Project Helios Solar & Storage,Solar PV + BESS,Thailand,250,200,289.0,1.156,High-cost solar+BESS,2.77,2.6,24.91,5.88,13.84,17.99,8.65,4.5,1.04,0.83,1.8,0.76,0.59,1.9,6.23,1.56,4.15
COST_SOL_002,Siam Solar East,Solar PV,Thailand,220,0,142.14,0.6461,Low-cost utility solar,3.76,3.14,33.48,7.81,19.08,0.0,9.81,6.51,1.27,0.81,1.51,0.65,0.55,2.01,5.19,1.67,2.74
COST_SOLB_003,Lotus Storage Solar,Solar PV + BESS,Thailand,180,160,179.03,0.9946,Mid-cost solar+BESS,2.67,2.63,27.72,5.73,14.66,21.45,7.48,4.54,0.98,0.66,1.21,0.49,0.39,1.75,4.21,1.3,2.14
COST_SOL_004,Rajasthan Sun A,Solar PV,India,300,0,196.81,0.656,Low-cost utility solar,3.64,3.61,33.54,8.11,19.06,0.0,9.57,6.39,1.36,0.83,1.49,0.64,0.52,2.0,5.14,1.51,2.59
COST_SOLB_005,Gujarat Flex,Solar PV + BESS,India,250,200,237.94,0.9518,Mid-cost solar+BESS,2.98,2.65,27.02,6.19,14.07,20.17,8.1,4.98,1.1,0.61,1.34,0.51,0.42,1.87,4.43,1.31,2.23
COST_SOL_006,Desert Pearl,Solar PV,UAE,400,0,253.69,0.6342,Low-cost utility solar,3.95,3.62,33.85,7.7,18.18,0.0,9.35,5.96,1.49,0.88,1.62,0.71,0.54,2.37,5.51,1.6,2.66
COST_SOLB_007,Emirates Flex Solar,Solar PV + BESS,UAE,300,240,287.61,0.9587,Mid-cost solar+BESS,2.93,2.58,27.77,6.86,14.27,20.03,7.18,5.22,1.07,0.6,1.2,0.5,0.44,1.8,4.25,1.2,2.11
COST_SOL_008,Nile Sun I,Solar PV,Egypt,200,0,134.25,0.6713,Low-cost utility solar,3.82,3.29,35.95,8.32,16.31,0.0,9.5,6.07,1.32,0.76,1.61,0.62,0.52,2.09,5.62,1.67,2.53
COST_SOLB_009,Nile Grid Support,Solar PV + BESS,Egypt,220,160,238.88,1.0858,High-cost solar+BESS,2.93,2.58,29.54,6.91,14.2,16.08,7.78,4.98,1.03,0.68,1.31,0.57,0.44,1.6,5.28,1.21,2.91
COST_SOL_010,Kalahari Sun,Solar PV,South Africa,180,0,136.63,0.7591,Mid-cost utility solar,3.85,3.54,33.21,7.49,19.24,0.0,10.08,5.64,1.34,0.75,1.68,0.7,0.51,2.14,5.42,1.55,2.85
COST_SOLB_011,Cape Flex,Solar PV + BESS,South Africa,160,120,170.9,1.0681,High-cost solar+BESS,2.94,2.63,28.35,6.87,14.2,16.85,7.5,5.37,1.13,0.66,1.33,0.52,0.42,1.72,5.6,1.27,2.64
COST_SOL_012,Mekong Solar,Solar PV,Vietnam,240,0,180.07,0.7503,Mid-cost utility solar,3.42,3.47,33.16,8.69,19.41,0.0,8.86,5.86,1.39,0.78,1.53,0.73,0.55,2.17,5.69,1.71,2.58
COST_FLOAT_013,Mekong Floating I,Floating solar,Vietnam,150,0,150.96,1.0064,Floating solar,3.21,3.15,32.03,7.59,17.8,0.0,12.35,8.33,1.19,0.75,1.48,0.68,0.49,1.93,5.05,1.51,2.45
COST_FLOAT_014,Lagoon Float,Floating solar,Thailand,120,0,120.04,1.0003,Floating solar,3.32,3.42,32.33,8.12,17.41,0.0,11.22,8.4,1.35,0.82,1.64,0.67,0.48,2.04,4.88,1.51,2.38
COST_SOLB_015,Andes Hybrid,Solar PV + BESS,Chile,260,200,246.58,0.9484,Mid-cost solar+BESS,2.88,2.92,26.65,6.81,14.56,19.47,7.51,5.24,1.17,0.66,1.35,0.52,0.42,1.87,4.4,1.31,2.26
COST_SOL_016,Atacama Solar,Solar PV,Chile,350,0,227.34,0.6495,Low-cost utility solar,3.4,3.43,34.56,8.59,17.29,0.0,10.18,5.69,1.29,0.83,1.67,0.65,0.51,2.3,5.2,1.65,2.76
COST_SOLB_017,Atlas Solar Storage,Solar PV + BESS,Morocco,200,160,217.14,1.0857,High-cost solar+BESS,2.9,2.75,27.82,6.97,13.98,17.68,7.87,4.69,1.07,0.67,1.26,0.53,0.45,1.62,5.4,1.41,2.93
COST_SOL_018,Jordan Sun,Solar PV,Jordan,180,0,136.39,0.7577,Mid-cost utility solar,3.39,3.21,33.04,8.64,19.28,0.0,9.99,5.93,1.28,0.85,1.66,0.68,0.58,2.21,4.96,1.69,2.6
COST_SOLB_019,Jordan Flex,Solar PV + BESS,Jordan,170,140,159.31,0.9371,Mid-cost solar+BESS,3.04,2.94,26.39,6.19,13.9,21.09,7.76,4.76,1.12,0.68,1.26,0.56,0.42,1.76,4.68,1.39,2.05
COST_SOL_020,Deccan Sun II,Solar PV,India,280,0,178.98,0.6392,Low-cost utility solar,3.67,3.32,32.32,8.62,18.99,0.0,9.27,6.44,1.39,0.82,1.52,0.64,0.59,2.35,5.55,1.74,2.79
